nameCn,nameEn,objectTypeName,description,property.statistic_period,property.capacity_value,property.wafer_size,property.market_region,property.data_source,property.company_name,property.segment,property.metric_name,property.previous_period_value,property.next_period_value
SK Hynix 2026Q4 geometry capacity 017-020 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,778500.7087912089,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK Hynix,017-020,capacity_by_geometry,,
SK Hynix 2026Q4 geometry capacity 021-033 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,247500,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK Hynix,021-033,capacity_by_geometry,,
SK Hynix 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation by company.,2026Q4,2115750.708791209,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK Hynix,all,installed_wafer_capacity,1976000.708791209,2185500.708791209
SK Hynix 2026Q4 memory capacity 存储器 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 memory capacity observation.,2026Q4,1995750.708791209,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK Hynix,存储器,memory_capacity,,
SK Siltron 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,45000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK Siltron,all,installed_wafer_capacity,,
SK keyfoundry (was Key Foundry) 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,93000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK keyfoundry (was Key Foundry),foundry,foundry_installed_capacity,,
SK keyfoundry (was Key Foundry) 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,93000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK keyfoundry (was Key Foundry),all,installed_wafer_capacity,,
SMIC 2026Q4 foundry installed capacity foundry (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 foundry installed capacity observation.,2026Q4,1153750,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SMIC,foundry,foundry_installed_capacity,,
SMIC 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,1153750,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SMIC,总计,capacity_by_geometry,,
SMIC 2026Q4 geometry capacity 021-033 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,551250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SMIC,021-033,capacity_by_geometry,,
SMIC 2026Q4 geometry capacity 080-130 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,308000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SMIC,080-130,capacity_by_geometry,,
SMIC 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation by company.,2026Q4,1153750,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SMIC,all,installed_wafer_capacity,1063000,1280500
SMIC 2026Q4 logic and micro capacity 逻辑与微器件 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 logic and micro capacity observation.,2026Q4,632250,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SMIC,逻辑与微器件,logic_micro_capacity,,
SOITEC Silicon On Insulator Technologies 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation by company.,2026Q4,611812.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SOITEC Silicon On Insulator Technologies,all,installed_wafer_capacity,546562.5,672562.5
