sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Asahi Kasei Microdevices (AKM) - Fab 1 current wafer capacity (SEMI WFF),Asahi Kasei Microdevices (AKM) - Fab 1,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Asahi Kasei Microdevices (AKM) - Fab 2 (8"" line) current wafer capacity (SEMI WFF)","Asahi Kasei Microdevices (AKM) - Fab 2 (8"" line)",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Asahi Kasei Microdevices (AKM) - Fab 3 current wafer capacity (SEMI WFF),Asahi Kasei Microdevices (AKM) - Fab 3,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Asahi Kasei Microdevices (AKM) - Fab 2 (6"" line) current wafer capacity (SEMI WFF)","Asahi Kasei Microdevices (AKM) - Fab 2 (6"" line)",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Asia Pacific Microsystems, Inc.  (APM) - Fab 1 current wafer capacity (SEMI WFF)","Asia Pacific Microsystems, Inc.  (APM) - Fab 1",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Atomica (was IMT Innovative Micro Technology) - 6-inch line current wafer capacity (SEMI WFF),Atomica (was IMT Innovative Micro Technology) - 6-inch line,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Atomica (was IMT Innovative Micro Technology) - 8-inch line current wafer capacity (SEMI WFF),Atomica (was IMT Innovative Micro Technology) - 8-inch line,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AUK Corporation - A 2 current wafer capacity (SEMI WFF),AUK Corporation - A 2,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AUK Corporation - D1 and D2 Lines current wafer capacity (SEMI WFF),AUK Corporation - D1 and D2 Lines,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AUK Corporation - A 1 current wafer capacity (SEMI WFF),AUK Corporation - A 1,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Autopribor - Autopribor current wafer capacity (SEMI WFF),Autopribor - Autopribor,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AVIC Kaimai (Shanghai) - InSb Fab current wafer capacity (SEMI WFF),AVIC Kaimai (Shanghai) - InSb Fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AWSC (Advanced Wireless Semiconductor Co.) - Module 1 current wafer capacity (SEMI WFF),AWSC (Advanced Wireless Semiconductor Co.) - Module 1,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AWSC (Advanced Wireless Semiconductor Co.) - Module 2 current wafer capacity (SEMI WFF),AWSC (Advanced Wireless Semiconductor Co.) - Module 2,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BAE Systems - BAE Systems Imaging Solutions current wafer capacity (SEMI WFF),BAE Systems - BAE Systems Imaging Solutions,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BAE Systems - Advanced Microwave Products (AMP) Center current wafer capacity (SEMI WFF),BAE Systems - Advanced Microwave Products (AMP) Center,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Beijing MXTronics Corp. - Beijing fab current wafer capacity (SEMI WFF),Beijing MXTronics Corp. - Beijing fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Beijing Yandong (YDME) - Yandong 200mm Fab current wafer capacity (SEMI WFF),Beijing Yandong (YDME) - Yandong 200mm Fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Beijing Yandong (YDME) - 150mm fab current wafer capacity (SEMI WFF),Beijing Yandong (YDME) - 150mm fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Beijing Yandong (YDME) - new 300mm fab current wafer capacity (SEMI WFF),Beijing Yandong (YDME) - new 300mm fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Beijing Yandong (YDME) - 150mm SiC Line current wafer capacity (SEMI WFF),Beijing Yandong (YDME) - 150mm SiC Line,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Beijing Yandong (YDME) - Yandong 300mm Line current wafer capacity (SEMI WFF),Beijing Yandong (YDME) - Yandong 300mm Line,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BEL (Bharat Electronics Limited) - Bangalore current wafer capacity (SEMI WFF),BEL (Bharat Electronics Limited) - Bangalore,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"BelGaN (Belgium GaN) - Oudenaarde 6-inch (was OnSEMI, before that was AMI Fab 2) current wafer capacity (SEMI WFF)","BelGaN (Belgium GaN) - Oudenaarde 6-inch (was OnSEMI, before that was AMI Fab 2)",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"BelGaN (Belgium GaN) - Oudenaarde 8-inch (was OnSEMI, before that was AMI Fab 2) current wafer capacity (SEMI WFF)","BelGaN (Belgium GaN) - Oudenaarde 8-inch (was OnSEMI, before that was AMI Fab 2)",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bi-CMOS Foundry - Bi-CMOS Foundry current wafer capacity (SEMI WFF),Bi-CMOS Foundry - Bi-CMOS Foundry,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bosch - 300mm Fab 1 (P1+ P2) current wafer capacity (SEMI WFF),Bosch - 300mm Fab 1 (P1+ P2),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bosch - 150mm Wafer Fab current wafer capacity (SEMI WFF),Bosch - 150mm Wafer Fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bosch - MEMS fab current wafer capacity (SEMI WFF),Bosch - MEMS fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bosch - Clayton current wafer capacity (SEMI WFF),Bosch - Clayton,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
