sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
IMEC - 300mm: Fab 5 (Chip Innovation Centre) current wafer capacity (SEMI WFF),IMEC - 300mm: Fab 5 (Chip Innovation Centre),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
IMEC - 300mm: NanoIC Pilot Line current wafer capacity (SEMI WFF),IMEC - 300mm: NanoIC Pilot Line,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Infineon - Villach 300mm thin wafer pilot current wafer capacity (SEMI WFF),Infineon - Villach 300mm thin wafer pilot,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Infineon - Villach Building 17a and 17b (part of Pilot 4.0) current wafer capacity (SEMI WFF),Infineon - Villach Building 17a and 17b (part of Pilot 4.0),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Infineon - Building 38 - 200mm Line (was Prototype fab with Fraunhofer) current wafer capacity (SEMI WFF),Infineon - Building 38 - 200mm Line (was Prototype fab with Fraunhofer),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Infineon - Building 47 - 200mm Line (was Screening fab Fraunhofer IPMS) current wafer capacity (SEMI WFF),Infineon - Building 47 - 200mm Line (was Screening fab Fraunhofer IPMS),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
InnoScience Inc. - Zhuhai R&D center current wafer capacity (SEMI WFF),InnoScience Inc. - Zhuhai R&D center,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Institute of Microelectronics - Chernogolovka current wafer capacity (SEMI WFF),Institute of Microelectronics - Chernogolovka,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Institute of Microelectronics - Yaroslavl current wafer capacity (SEMI WFF),Institute of Microelectronics - Yaroslavl,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Institute of Science & Technology - N/A current wafer capacity (SEMI WFF),Institute of Science & Technology - N/A,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Institute of Semiconductors CAS - Research Center for Semiconductor current wafer capacity (SEMI WFF),Institute of Semiconductors CAS - Research Center for Semiconductor,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Institute of Semiconductors CAS - Semiconductor Lighting R&D Center current wafer capacity (SEMI WFF),Institute of Semiconductors CAS - Semiconductor Lighting R&D Center,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Institute of Technology Georgia - Pettit Microelectronics Center current wafer capacity (SEMI WFF),Institute of Technology Georgia - Pettit Microelectronics Center,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Integral, Research and Production Corporation - 200mm Pilot current wafer capacity (SEMI WFF)","Integral, Research and Production Corporation - 200mm Pilot",晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Intel - RP1 current wafer capacity (SEMI WFF),Intel - RP1,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Jiaxing Boncom-Semi - Jiaxing current wafer capacity (SEMI WFF),Jiaxing Boncom-Semi - Jiaxing,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
JiuFengShan Lab (JFS Lab) - JFS Lab 8inch line current wafer capacity (SEMI WFF),JiuFengShan Lab (JFS Lab) - JFS Lab 8inch line,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
JiuFengShan Lab (JFS Lab) - JFS Lab 6inch Line current wafer capacity (SEMI WFF),JiuFengShan Lab (JFS Lab) - JFS Lab 6inch Line,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
JiuFengShan Lab (JFS Lab) - JFS Lab 4inch Line current wafer capacity (SEMI WFF),JiuFengShan Lab (JFS Lab) - JFS Lab 4inch Line,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Kioxia/WD (was Flash Alliance) - New R&D Center current wafer capacity (SEMI WFF),Kioxia/WD (was Flash Alliance) - New R&D Center,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Korea National Center for Nanomaterials Technology (NCNT) - NCNT current wafer capacity (SEMI WFF),Korea National Center for Nanomaterials Technology (NCNT) - NCNT,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Korea National Nanofab Center - NNFC current wafer capacity (SEMI WFF),Korea National Nanofab Center - NNFC,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Korea Photonics Technology Institute (KOPTI) - Pilot Production Center current wafer capacity (SEMI WFF),Korea Photonics Technology Institute (KOPTI) - Pilot Production Center,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Lakeside Optoelectronics Technology - R&D Line current wafer capacity (SEMI WFF),Lakeside Optoelectronics Technology - R&D Line,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Lawrence Livermore Labs - N/A current wafer capacity (SEMI WFF),Lawrence Livermore Labs - N/A,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
LETI - PFP (Plate Forme Photonique) current wafer capacity (SEMI WFF),LETI - PFP (Plate Forme Photonique),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
LETI - 200mm CMOS line Building 41 (Nanotec 200&300) current wafer capacity (SEMI WFF),LETI - 200mm CMOS line Building 41 (Nanotec 200&300),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
LETI - 3D Integration Building 41 (was 300mm CMOS line) current wafer capacity (SEMI WFF),LETI - 3D Integration Building 41 (was 300mm CMOS line),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
LETI - MEMS 200 (Building 52) current wafer capacity (SEMI WFF),LETI - MEMS 200 (Building 52),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Lishan Microelectronics - 3"" line current wafer capacity (SEMI WFF)","Lishan Microelectronics - 3"" line",晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Lockheed Martin - N/A current wafer capacity (SEMI WFF),Lockheed Martin - N/A,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Lockheed Martin - VLSI Line current wafer capacity (SEMI WFF),Lockheed Martin - VLSI Line,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Lockheed Martin - GaAs Line current wafer capacity (SEMI WFF),Lockheed Martin - GaAs Line,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
MAS (Micro Analog Systems Oy) - N/A current wafer capacity (SEMI WFF),MAS (Micro Analog Systems Oy) - N/A,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Masdar Institute of Science and Technology - Micro-fabrication laboratory current wafer capacity (SEMI WFF),Masdar Institute of Science and Technology - Micro-fabrication laboratory,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
MEMSRight - MEMS Right current wafer capacity (SEMI WFF),MEMSRight - MEMS Right,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Microfabrica - EFAB current wafer capacity (SEMI WFF),Microfabrica - EFAB,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Micron - Fab 4 (Bldg. 51 R&D expansion) current wafer capacity (SEMI WFF),Micron - Fab 4 (Bldg. 51 R&D expansion),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Micron - Fab 4 (Bldg. 50) current wafer capacity (SEMI WFF),Micron - Fab 4 (Bldg. 50),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Microwave Monolithics - 研发 current wafer capacity (SEMI WFF),Microwave Monolithics - 研发,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
MiQro Innovation Collaborative Centre (C2MI) - MiQro Innovation Collaborative Centre current wafer capacity (SEMI WFF),MiQro Innovation Collaborative Centre (C2MI) - MiQro Innovation Collaborative Centre,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Mitsubishi Electric - Power Devices Innovation Center (PI building) current wafer capacity (SEMI WFF),Mitsubishi Electric - Power Devices Innovation Center (PI building),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Moscow Institute of Physics and Technology  (MIPT) - Device R&D current wafer capacity (SEMI WFF),Moscow Institute of Physics and Technology  (MIPT) - Device R&D,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Moscow Institute of Physics and Technology  (MIPT) - Litho R&D current wafer capacity (SEMI WFF),Moscow Institute of Physics and Technology  (MIPT) - Litho R&D,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Moscow Institute of Physics and Technology  (MIPT) - R&D Institute current wafer capacity (SEMI WFF),Moscow Institute of Physics and Technology  (MIPT) - R&D Institute,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Murata Manufacturing Company, Ltd. - Yasu Plant current wafer capacity (SEMI WFF)","Murata Manufacturing Company, Ltd. - Yasu Plant",晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
