sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Glo AB - n/a project capital expenditure (SEMI WFF),Glo AB - n/a,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
GTA Semiconductor - Fab 6 (300mm) project capital expenditure (SEMI WFF),GTA Semiconductor - Fab 6 (300mm),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Guangdong Institute of Semiconductor Micro-Nano Manufacturing Technology - Fab 1 project capital expenditure (SEMI WFF),Guangdong Institute of Semiconductor Micro-Nano Manufacturing Technology - Fab 1,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Guanzhou Compound Innovation Center - Guanzhou Compound Innvation Center project capital expenditure (SEMI WFF),Guanzhou Compound Innovation Center - Guanzhou Compound Innvation Center,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Hitachi Power Device - Rinkai Works project capital expenditure (SEMI WFF),Hitachi Power Device - Rinkai Works,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Honda - Honda R&D Center project capital expenditure (SEMI WFF),Honda - Honda R&D Center,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Huawei - Wuhan HiSilicon fab project capital expenditure (SEMI WFF),Huawei - Wuhan HiSilicon fab,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
IBM Microelectronics - Nanotech Lab Zurich project capital expenditure (SEMI WFF),IBM Microelectronics - Nanotech Lab Zurich,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
IHP GmbH - IHP Fraunhofer project capital expenditure (SEMI WFF),IHP GmbH - IHP Fraunhofer,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
III-V Lab - Marcoussis lab project capital expenditure (SEMI WFF),III-V Lab - Marcoussis lab,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
III-V Lab - Palaiseau lab project capital expenditure (SEMI WFF),III-V Lab - Palaiseau lab,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
IMEC - 300mm: Fab 3 (was 450mm pilot) project capital expenditure (SEMI WFF),IMEC - 300mm: Fab 3 (was 450mm pilot),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
IMEC - 200mm: Fab 1 (Silicon Pilot Line) project capital expenditure (SEMI WFF),IMEC - 200mm: Fab 1 (Silicon Pilot Line),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
IMEC - 300mm: Fab 2 + Fab 2-300mm extension (Nanoelectronics Lab) project capital expenditure (SEMI WFF),IMEC - 300mm: Fab 2 + Fab 2-300mm extension (Nanoelectronics Lab),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
IMEC - 300mm: Fab 4 (sub-1nm pilot) project capital expenditure (SEMI WFF),IMEC - 300mm: Fab 4 (sub-1nm pilot),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
IMEC - 300mm: Fab 5 (Chip Innovation Centre) project capital expenditure (SEMI WFF),IMEC - 300mm: Fab 5 (Chip Innovation Centre),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
IMEC - 300mm: NanoIC Pilot Line project capital expenditure (SEMI WFF),IMEC - 300mm: NanoIC Pilot Line,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Infineon - Villach Building 17a and 17b (part of Pilot 4.0) project capital expenditure (SEMI WFF),Infineon - Villach Building 17a and 17b (part of Pilot 4.0),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Institute of Semiconductors CAS - Research Center for Semiconductor project capital expenditure (SEMI WFF),Institute of Semiconductors CAS - Research Center for Semiconductor,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Institute of Semiconductors CAS - Semiconductor Lighting R&D Center project capital expenditure (SEMI WFF),Institute of Semiconductors CAS - Semiconductor Lighting R&D Center,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Institute of Technology Georgia - Pettit Microelectronics Center project capital expenditure (SEMI WFF),Institute of Technology Georgia - Pettit Microelectronics Center,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Integral, Research and Production Corporation - 200mm Pilot project capital expenditure (SEMI WFF)","Integral, Research and Production Corporation - 200mm Pilot",资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Intel - RP1 project capital expenditure (SEMI WFF),Intel - RP1,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Jiaxing Boncom-Semi - Jiaxing project capital expenditure (SEMI WFF),Jiaxing Boncom-Semi - Jiaxing,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
JiuFengShan Lab (JFS Lab) - JFS Lab 8inch line project capital expenditure (SEMI WFF),JiuFengShan Lab (JFS Lab) - JFS Lab 8inch line,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Korea National Center for Nanomaterials Technology (NCNT) - NCNT project capital expenditure (SEMI WFF),Korea National Center for Nanomaterials Technology (NCNT) - NCNT,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Korea National Nanofab Center - NNFC project capital expenditure (SEMI WFF),Korea National Nanofab Center - NNFC,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Korea Photonics Technology Institute (KOPTI) - Pilot Production Center project capital expenditure (SEMI WFF),Korea Photonics Technology Institute (KOPTI) - Pilot Production Center,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
