sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Bosch - MEMS fab project capital expenditure (SEMI WFF),Bosch - MEMS fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Bosch - 200mm Wafer fab project capital expenditure (SEMI WFF),Bosch - 200mm Wafer fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Bosch - Phase C of expansion plan: 200mm line project capital expenditure (SEMI WFF),Bosch - Phase C of expansion plan: 200mm line,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Bosch - M-Line + K-Line (merged March 2023) project capital expenditure (SEMI WFF),Bosch - M-Line + K-Line (merged March 2023),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Bosch - 150mm SiC Line project capital expenditure (SEMI WFF),Bosch - 150mm SiC Line,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Bourns Ltd. - Fab 1 project capital expenditure (SEMI WFF),Bourns Ltd. - Fab 1,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Broadcom (was Avago) - 8-inch Lines combined fabs (B2+B3+B4)  (was B2 8-inch FBAR line (was Silicon processing + GaAs line) project capital expenditure (SEMI WFF),Broadcom (was Avago) - 8-inch Lines combined fabs (B2+B3+B4)  (was B2 8-inch FBAR line (was Silicon processing + GaAs line),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Broadcom (was Avago) - Avago Yishun project capital expenditure (SEMI WFF),Broadcom (was Avago) - Avago Yishun,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BYD Co. Ltd - Jinan fab (was Jinan Energen) project capital expenditure (SEMI WFF),BYD Co. Ltd - Jinan fab (was Jinan Energen),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
BYD Co. Ltd - Changsha fab (new line in existing fab) project capital expenditure (SEMI WFF),BYD Co. Ltd - Changsha fab (new line in existing fab),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Cactus Materials - Wafer Processing Fab project capital expenditure (SEMI WFF),Cactus Materials - Wafer Processing Fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Canon - Ayase Plant project capital expenditure (SEMI WFF),Canon - Ayase Plant,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
