nameCn,nameEn,objectTypeName,description,property.capex_amount,property.currency,property.period,property.capex_category,property.region,property.capacity_or_technology_purpose,property.data_source,property.company_name,property.previous_period_value,property.next_period_value,property.facility_name,property.facility_record_id,property.source_sheet,source_url
InnoScience Inc. 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,84.8,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,InnoScience Inc.,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Intel 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,615,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Intel,2870,1415,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Intel 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,7140,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Intel,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
JTC Corporation 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,42,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,JTC Corporation,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
"Jiangsu JieJie Microelectronics Co.,Ltd. 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,101.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Jiangsu JieJie Microelectronics Co.,Ltd.",,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Jiangxi Yuhongjin Material Technology (YHJ) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,200,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Jiangxi Yuhongjin Material Technology (YHJ),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Kioxia/WD (was Flash Alliance) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,2348,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Kioxia/WD (was Flash Alliance),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
"LAPIS Semiconductor Co, Ltd 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,268,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"LAPIS Semiconductor Co, Ltd",,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Lakeside Optoelectronics Technology 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,38,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Lakeside Optoelectronics Technology,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
"Macronix International Co., Ltd. (MXIC) 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,222,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Macronix International Co., Ltd. (MXIC)",,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
