"nameCn","generatedId","sourceNameEn","strategy"
"材料","material","material","nameEn"
"PCB材料","pcb_material","pcb_material","nameEn"
"PCB用电子树脂","pcb_electronic_resin","pcb_electronic_resin","nameEn"
"PCB用铜箔","pcb_copper_foil","pcb_copper_foil","nameEn"
"半固化片","prepreg","prepreg","nameEn"
"电子玻纤布","electronic_glass_fiber_cloth","electronic_glass_fiber_cloth","nameEn"
"电子玻纤纱","electronic_glass_fiber_yarn","electronic_glass_fiber_yarn","nameEn"
"覆铜板","copper_clad_laminate","copper_clad_laminate","nameEn"
"封装材料","packaging_material","packaging_material","nameEn"
"塑封料","mold_compound","mold_compound","nameEn"
"封装基板","package_substrate","package_substrate","nameEn"
"ABF载板","abf_substrate","abf_substrate","nameEn"
"BT载板","bt_substrate","bt_substrate","nameEn"
"玻璃基板","glass_substrate","glass_substrate","nameEn"
"引线框架","leadframe","leadframe","nameEn"
"芯片粘接材料","die_attach_material","die_attach_material","nameEn"
"键合丝","bonding_wire","bonding_wire","nameEn"
"陶瓷封装材料","ceramic_package_material","ceramic_package_material","nameEn"
"晶圆制造材料","wafer_fab_material","wafer_fab_material","nameEn"
"CMP材料","cmp_material","cmp_material","nameEn"
"GaN外延片","gan_epitaxial_wafer","gan_epitaxial_wafer","nameEn"
"SOI材料","soi_material","soi_material","nameEn"
"SiC衬底","sic_substrate","sic_substrate","nameEn"
"光刻胶","photoresist","photoresist","nameEn"
"光刻胶配套材料","photoresist_ancillary","photoresist_ancillary","nameEn"
"光掩膜版","photomask","photomask","nameEn"
"工艺化学品","process_chemical","process_chemical","nameEn"
"溅射靶材","sputtering_target","sputtering_target","nameEn"
"电子气体","electronic_gas","electronic_gas","nameEn"
"硅片","silicon_wafer","silicon_wafer","nameEn"
"设备","equipment","equipment","nameEn"
"PCB制造设备","pcb_manufacturing_equipment","pcb_manufacturing_equipment","nameEn"
"PCB层压机","pcb_lamination_equipment","pcb_lamination_equipment","nameEn"
"PCB成像机","pcb_imaging_equipment","pcb_imaging_equipment","nameEn"
"PCB检测机","pcb_inspection_equipment","pcb_inspection_equipment","nameEn"
"PCB电测机","pcb_electrical_test_equipment","pcb_electrical_test_equipment","nameEn"
"PCB蚀刻机","pcb_etching_equipment","pcb_etching_equipment","nameEn"
"PCB表面处理线","pcb_surface_finish_equipment","pcb_surface_finish_equipment","nameEn"
"PCB钻孔机","pcb_drilling_equipment","pcb_drilling_equipment","nameEn"
"PCB阻焊机","pcb_solder_mask_equipment","pcb_solder_mask_equipment","nameEn"
"封装设备","assembly_and_packaging_equipment","assembly_and_packaging_equipment","nameEn"
"倒装键合机","flip_chip_bonding_equipment","flip_chip_bonding_equipment","nameEn"
"切筋成型机","trim_form_equipment","trim_form_equipment","nameEn"
"划片机","wafer_dicing_equipment","wafer_dicing_equipment","nameEn"
"固晶机","die_attach_equipment","die_attach_equipment","nameEn"
"塑封机","molding_equipment","molding_equipment","nameEn"
"引线键合机","wire_bonding_equipment","wire_bonding_equipment","nameEn"
"晶圆减薄机","wafer_thinning_equipment","wafer_thinning_equipment","nameEn"
"混合键合机","hybrid_bonding_equipment","hybrid_bonding_equipment","nameEn"
"晶圆制造设备","wafer_fabrication_equipment","wafer_fabrication_equipment","nameEn"
"CMP抛光机","cmp_equipment","cmp_equipment","nameEn"
"CVD沉积机","cvd_equipment","cvd_equipment","nameEn"
"PVD沉积机","physical_vapor_deposition_equipment","physical_vapor_deposition_equipment","nameEn"
"光刻机","lithography_expose_and_write_equipment","lithography_expose_and_write_equipment","nameEn"
"其他薄膜沉积机台","other_thin_film_deposition_equipment","other_thin_film_deposition_equipment","nameEn"
"刻蚀机","etch_equipment","etch_equipment","nameEn"
"晶圆处理机台","wafer_manufacturing_and_processing_equipment","wafer_manufacturing_and_processing_equipment","nameEn"
"检测量测机台","inspection_and_measurement_equipment","inspection_and_measurement_equipment","nameEn"
"前道检测机台","front_end_inspection_equipment","front_end_inspection_equipment","nameEn"
"前道量测机台","front_end_metrology_equipment","front_end_metrology_equipment","nameEn"
"涂胶显影机","resist_processing_equipment","resist_processing_equipment","nameEn"
"清洗干燥机","clean_and_dry_equipment","clean_and_dry_equipment","nameEn"
"干法清洗机","dry_cleaning_equipment","dry_cleaning_equipment","nameEn"
"湿法清洗机","wet_cleaning_equipment","wet_cleaning_equipment","nameEn"
"热处理炉","thermal_processing_equipment","thermal_processing_equipment","nameEn"
"氧化扩散炉","oxidation_diffusion_equipment","oxidation_diffusion_equipment","nameEn"
"退火炉","annealing_furnace","annealing_furnace","nameEn"
"离子注入机","ion_implant_equipment","ion_implant_equipment","nameEn"
"测试设备","test_equipment","test_equipment","nameEn"
"SoC与逻辑测试机","soc_and_logic_test_equipment","soc_and_logic_test_equipment","nameEn"
"分选机","handler","handler","nameEn"
"存储测试机","memory_test_equipment","memory_test_equipment","nameEn"
